id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
127958,2a333725-464b-4fe3-9cd1-f8c5355c9599,2009-05-10,2009-05-10,,Central Time (US & Canada),9531,2012-09-28 22:47:34 UTC,2019-07-25 15:20:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/127958,https://inaturalist-open-data.s3.amazonaws.com/photos/180885/medium.jpg,"","",2,0,false,,"Missouri, US",36.9348906715,-90.0044713115,1892,,,,28476,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
134590,0afc2153-b07d-4158-b4e2-d0bd020e78c7,1988-03-19,1988-03-19,,Hawaii,9560,2012-10-12 19:13:58 UTC,2017-09-25 17:45:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/134590,https://inaturalist-open-data.s3.amazonaws.com/photos/187606/medium.jpg,"","",2,0,false,,Red River County,33.7626394085,-94.9958800742,2000,,,,2000,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
144371,d524c423-b225-4f2a-b9c4-51f8aa728c64,2012-11-05,2012-11-05,,Central Time (US & Canada),1639,2012-11-06 04:28:57 UTC,2020-08-20 00:51:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/144371,https://static.inaturalist.org/photos/199520/medium.JPG,Cache River,"",2,0,false,,"Belknap Road, Illinois, U.S.A.",37.3440673041,-88.9111213312,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
148805,910fb8bf-41ce-4530-bf43-74d880bcc3f5,2008-02-09,2008-02-09,,Central Time (US & Canada),3288,2012-11-16 11:51:41 UTC,2017-09-25 17:49:53 UTC,research,,http://www.inaturalist.org/observations/148805,https://static.inaturalist.org/photos/205073/medium.JPG,"","",4,0,false,,"Lick Creek Park, Brazos County, Texas",30.561311,-96.2145984,1868,,,,1868,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
149079,76066c25-5800-4860-a6bf-26cc2ae28dc7,2005-02-05,2005-02-05,,Central Time (US & Canada),9531,2012-11-17 02:30:10 UTC,2023-05-30 14:59:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/149079,https://inaturalist-open-data.s3.amazonaws.com/photos/205428/medium.JPG,"",several salamanders out walking in the open on a warmer sunny afternoon,2,0,false,,"Baker Wetlands, KS",38.92012,-95.2344983,1759,,,,1759,,,false,,,Smallmouth Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
189706,9c15fcf8-d1be-436d-8283-56ef491af120,2012-01-28,2012-01-28,,Central Time (US & Canada),12756,2013-02-01 04:59:55 UTC,2017-09-25 18:02:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/189706,https://inaturalist-open-data.s3.amazonaws.com/photos/243955/medium.JPG,"",Friends back yard.  Healthy breeding Population.,3,0,false,,"Texas, US",32.5972609086,-97.4912739271,12,,,,29093,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
214471,080078ea-fd55-4f9a-88e6-f58ce17b4535,2013-03-10,2013-03-10,,Central Time (US & Canada),1639,2013-03-11 16:12:22 UTC,2020-08-20 00:49:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/214471,https://static.inaturalist.org/photos/270284/medium.JPG,Cache River,"",2,0,false,,"Hwy 45, Johnson county, Illinois, U.S.A.",37.3597540875,-88.8872480392,,,,,,,,false,,,Smallmouth Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
226308,27cefb1b-d534-46d0-a40a-781739064738,2013-03-30,2013-03-30,,Central Time (US & Canada),1639,2013-03-31 16:19:16 UTC,2020-08-20 00:49:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/226308,https://static.inaturalist.org/photos/285024/medium.JPG,"","",2,0,false,,"Belknap Road, Illinois, U.S.A.",37.3424808,-88.9156489,3182,,,,3182,,,false,,,Smallmouth Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
228353,fa46f795-7dfe-42aa-a46f-5ef1c2b9d318,Tue Apr 02 2013 22:05:43 GMT-0500 (CDT),2013-04-02,2013-04-03 03:05:43 UTC,Central Time (US & Canada),2098,2013-04-03 13:15:05 UTC,2017-04-24 03:38:56 UTC,research,,http://www.inaturalist.org/observations/228353,https://static.inaturalist.org/photos/287400/medium.jpg,"",Many crossing the road at this site ,1,0,false,,"77418, Bellville, Texas, US",30.01861,-96.15329,5,,,,5,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
233755,4d77cca9-8e96-4daf-8351-fbcf47ca22c5,Tue Apr 02 2013 21:50:27 GMT-0500 (CDT),2013-04-02,2013-04-03 02:50:27 UTC,Central Time (US & Canada),12644,2013-04-10 21:29:50 UTC,2017-09-25 18:19:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/233755,https://static.inaturalist.org/photos/293882/medium.jpg,"",Found crossing road between ago fields during big rainstorm,1,0,false,,"11001–11433 Sandy Point Rd, Bryan, Texas, US",30.6893333333,-96.5233333333,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
259986,26d050ef-194c-42ed-9654-a1f58339dab4,Tue May 07 2013 11:14:25 GMT-0400 (EDT),2013-05-07,2013-05-07 15:14:25 UTC,Eastern Time (US & Canada),8216,2013-05-09 13:04:20 UTC,2017-10-06 17:13:21 UTC,research,CC-BY,http://www.inaturalist.org/observations/259986,https://static.inaturalist.org/photos/322437/medium.jpg,"","",1,0,false,,"3822–3862 Easton Square Pl, Columbus, Ohio, US",40.0445,-82.9146666667,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
262235,0945371c-b4dc-4f27-a7a0-be3a0859de17,2013-05-07,2013-05-07,,Eastern Time (US & Canada),14485,2013-05-11 16:06:15 UTC,2018-10-07 02:31:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/262235,https://static.inaturalist.org/photos/325069/medium.JPG,"","",1,0,false,,"Ohio, US",40.0212312829,-82.9891336245,8,,,,28000,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
400936,d4ba7264-844f-4146-ba66-2d96e64b9516,2013-03-10,2013-03-10,,Eastern Time (US & Canada),6003,2013-09-17 19:14:41 UTC,2020-08-31 13:53:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/400936,https://static.inaturalist.org/photos/501997/medium.jpg,"","",3,0,false,,Ferges Illinois,37.795749,-88.964535,,,,,,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
402102,4bdf5fc1-c0f5-4b8e-8ca2-c2a649b17287,2013-01-31,2013-01-31,,Eastern Time (US & Canada),6003,2013-09-19 00:34:18 UTC,2020-07-09 19:15:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/402102,https://static.inaturalist.org/photos/503428/medium.jpg,"","",2,0,false,,"Route 127, Jackson County Illinois",37.674844,-89.32308,,,,,,,,false,,,Smallmouth salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
430755,27c18bb3-b8a0-4e3b-a6ef-7e07801255a2,2013-10-13,2013-10-13,,Central Time (US & Canada),13156,2013-10-16 16:56:51 UTC,2020-07-29 22:46:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/430755,https://inaturalist-open-data.s3.amazonaws.com/photos/542902/medium.JPG,"",Single individual on top of park road on eastern end of Oxbow Lake.  Moderately heavy rainfall during the day.,4,0,false,,Palmetto State Park,29.593536,-97.585791,5,,,,5,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
444675,44e89a7b-450c-4e03-8500-2b85f1592d58,Wed Oct 30 2013 23:21:42 GMT-0500 (CDT),2013-10-30,2013-10-31 04:21:42 UTC,Central Time (US & Canada),10766,2013-10-31 06:48:43 UTC,2015-05-13 02:35:48 UTC,research,,http://www.inaturalist.org/observations/444675,https://static.inaturalist.org/photos/559907/medium.jpg,"",DOR,2,0,false,,"Texas, US",30.561713501,-95.8015773516,30,,,,29356,obscured,,true,,"",Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
444899,27864e84-55b0-4923-a915-4d43958c18d9,Wed Oct 30 2013 23:40:41 GMT-0500 (CDT),2013-10-30,2013-10-31 04:40:41 UTC,Central Time (US & Canada),10766,2013-10-31 16:57:55 UTC,2015-05-13 02:35:48 UTC,research,,http://www.inaturalist.org/observations/444899,https://static.inaturalist.org/photos/560171/medium.jpg,"",AOR,1,0,false,,"Texas, US",30.5722990274,-95.906357668,30,,,,29356,obscured,,true,,"",Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
445314,8ff49e7c-e60f-446f-ab1c-50eb6f50a9fa,Wed Oct 30 2013 20:28:05 GMT-0500 (CDT),2013-10-30,2013-10-31 01:28:05 UTC,Central Time (US & Canada),18730,2013-11-01 02:06:24 UTC,2017-09-25 19:18:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/445314,https://inaturalist-open-data.s3.amazonaws.com/photos/560537/medium.jpg,"","",1,0,false,3,"FM 149 Rd E, Richards, TX, US",30.5436383333,-95.8314666667,,,,,,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
485597,f0678939-1744-4f6d-91b4-ae7bcff3ff01,Sat Dec 21 2013 16:27:54 GMT-0600 (CST),2013-12-21,2013-12-21 22:27:54 UTC,Central Time (US & Canada),18946,2013-12-21 22:38:46 UTC,2017-09-25 19:36:24 UTC,research,,http://www.inaturalist.org/observations/485597,https://static.inaturalist.org/photos/613832/medium.jpg,"","",1,0,false,3,"1901 NW Green Oaks Blvd, Arlington, TX, US",32.7784166667,-97.1363055,,,,,,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
525835,6b7ad65e-4203-4011-9c74-1dc4ed2c692c,Sun Feb 09 2014 13:09:46 GMT-0600 (CST),2014-02-09,2014-02-09 19:09:46 UTC,Central Time (US & Canada),18946,2014-02-09 19:45:52 UTC,2017-09-25 19:51:05 UTC,research,,http://www.inaturalist.org/observations/525835,https://static.inaturalist.org/photos/669439/medium.jpg,"","",1,0,false,3,"1312–1390 Greenbelt Rd, Arlington, TX, US",32.779025,-97.1380916667,,,,,,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
525836,819aeea0-5666-41e5-930b-19cb98ff2583,Sun Feb 09 2014 13:20:43 GMT-0600 (CST),2014-02-09,2014-02-09 19:20:43 UTC,Central Time (US & Canada),19051,2014-02-09 19:45:54 UTC,2017-09-25 19:51:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/525836,https://inaturalist-open-data.s3.amazonaws.com/photos/669440/medium.jpg,"","",2,0,false,3,"1312–1390 Greenbelt Rd, Arlington, Texas, US",32.7788333333,-97.1361666667,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
576339,74c81851-2aa0-4f02-8c2c-2e8f24cc07bf,2014-03-19,2014-03-19,,Eastern Time (US & Canada),1495,2014-03-20 17:17:42 UTC,2019-10-04 15:31:08 UTC,research,,http://www.inaturalist.org/observations/576339,https://static.inaturalist.org/photos/732872/medium.jpg,"",I found seven females crossing the road.,2,0,false,,"Litzenberg Memorial Woods, Ohio",41.065957,-83.776803,200,,,,200,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
578949,b2e7eb5e-9c8b-41a6-82c9-71a32ea96da8,2014-03-22 11:47:32 AM CDT,2014-03-22,2014-03-22 16:47:32 UTC,Central Time (US & Canada),18446,2014-03-23 00:59:00 UTC,2022-01-05 15:11:49 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/578949,https://inaturalist-open-data.s3.amazonaws.com/photos/736363/medium.JPG,"","",3,0,false,2,"Palmetto island state park, Vermilion Parish",29.860882,-92.154528,10,,,,10,,,false,gps,gps,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
585925,9f8e2994-9fb4-4f78-8956-2f7f3b66931b,2014-03-27,2014-03-27,,Central Time (US & Canada),1639,2014-03-28 02:54:09 UTC,2020-08-20 00:47:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/585925,https://static.inaturalist.org/photos/745058/medium.jpg,Cache River,"",2,0,false,,"Belknap Road, Illinois, U.S.A.",37.346791,-88.900251,211,,,,211,,,false,,,Smallmouth Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
623124,4487c5a6-6e00-42e2-93af-bbcaa40a6e9d,2014-04-13,2014-04-13,,Eastern Time (US & Canada),14216,2014-04-14 01:08:58 UTC,2022-01-10 09:17:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/623124,https://static.inaturalist.org/photos/783698/medium.jpg,"",A dehydrated specimen found near the pond. The park naturalist had caught numerous live adults three weeks earlier.,1,0,false,,"Kendrick Woods, 971 N Defiance Trail, Spencerville, OH",40.750376,-84.320938,188,,,,188,,,false,,,salamandre à nez court,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
632044,dcb9faa3-2a33-465d-98ad-e4e589230398,Fri Apr 18 2014 15:02:31 GMT-0500 (CDT),2014-04-18,2014-04-18 20:02:31 UTC,Central Time (US & Canada),2098,2014-04-19 18:31:14 UTC,2017-04-24 00:32:05 UTC,research,,http://www.inaturalist.org/observations/632044,https://static.inaturalist.org/photos/795518/medium.jpg,"","",1,0,false,3,"76629, Bremond, TX, US",31.0193833333,-96.7718366667,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
650661,af207710-fe89-4cf8-b717-cfc2564551ae,Wed Apr 30 2014 13:22:33 GMT-0500 (CDT),2014-04-30,2014-04-30 18:22:33 UTC,Central Time (US & Canada),10766,2014-04-30 19:18:35 UTC,2015-05-13 02:30:28 UTC,research,,http://www.inaturalist.org/observations/650661,https://static.inaturalist.org/photos/820507/medium.jpg,"","",1,0,false,3,"77837, Calvert, Texas, US",30.9856666667,-96.7385,30,,,,30,,,false,,"",Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
670320,12dfeca9-79fb-4dbe-9c8d-7d67149f0d2f,Fri May 09 2014 21:18:15 GMT-0500 (CDT),2014-05-09,2014-05-10 02:18:15 UTC,Central Time (US & Canada),10766,2014-05-10 07:28:22 UTC,2015-05-13 02:30:03 UTC,research,,http://www.inaturalist.org/observations/670320,https://static.inaturalist.org/photos/844459/medium.jpg,"","",1,0,false,3,"FM 149 E, Richards, Texas, US",30.5428333333,-95.8345,30,,,,30,,,false,,"",Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
676021,5130cde5-ee44-4d15-b41b-c6a57ab2d59d,Tue May 13 2014 03:17:11 GMT-0500 (CDT),2014-05-13,2014-05-13 08:17:11 UTC,Central Time (US & Canada),18730,2014-05-13 21:42:47 UTC,2017-09-25 20:42:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/676021,https://inaturalist-open-data.s3.amazonaws.com/photos/851605/medium.jpg,"","",1,0,false,3,"Lake Livingston, Pointblank, TX, US",30.7453716667,-95.1910383333,,,,,,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
694401,f96dc23c-ce6a-4232-91d3-8d687070adf9,2014-02-24 18:48:46,2014-02-24,2014-02-25 00:48:46 UTC,Central Time (US & Canada),39170,2014-05-23 05:27:23 UTC,2024-12-27 07:56:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/694401,https://inaturalist-open-data.s3.amazonaws.com/photos/871639/medium.JPG,"",Found under a piece of tin during a week of periodic light rains.,2,0,false,,"Texas, US",32.6163754166,-97.0305814007,1492,,,,29066,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
812509,0ef7c38f-1e0c-4344-ae55-371018d146ba,Fri Aug 01 2014 19:33:38 GMT-0500 (CDT),2014-08-01,2014-08-02 00:33:38 UTC,Central Time (US & Canada),13156,2014-08-02 00:38:19 UTC,2017-09-25 21:24:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/812509,https://inaturalist-open-data.s3.amazonaws.com/photos/1024565/medium.jpg,"","Under rotting log within dried out, read not moist, depression within the Ottine Swamp of Palmetto State Park. StateStatPaThpersonalobservaobservation in the park I ",2,0,false,3,"Palmetto State Park, Gonzales, TX, US",29.5859083333,-97.5840916667,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1021366,b0ebbca6-1165-4024-8055-aaa251fd9abf,2014-02-06,2014-02-06,,Central Time (US & Canada),14327,2014-10-16 13:23:05 UTC,2019-07-29 18:00:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1021366,https://inaturalist-open-data.s3.amazonaws.com/photos/1280099/medium.jpg,"","",3,0,false,,"Harris County, US-TX, US",29.778242,-94.933789,28,,,,28,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1021371,1d2bd1fa-4e20-40a7-8a64-6c34aa6393a4,2014-01-14,2014-01-14,,Central Time (US & Canada),14327,2014-10-16 13:45:28 UTC,2025-02-06 23:13:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1021371,https://inaturalist-open-data.s3.amazonaws.com/photos/1280106/medium.jpg,"","",2,0,false,,"Liberty County, US-TX, US",30.349332,-94.772653,28,,,,28,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1021432,fce43c51-c724-4276-a4f9-40c8b32ac378,2011-02-19,2011-02-19,,Central Time (US & Canada),14327,2014-10-16 14:57:22 UTC,2024-09-25 03:31:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1021432,https://inaturalist-open-data.s3.amazonaws.com/photos/1280182/medium.jpg,"",Prior to site being cleared it contained a robust A. texanum population.,3,0,false,,"Fort Bend County, US-TX, US",29.567556,-95.672904,57,,,,57,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1021444,5781fb60-6013-4198-82e2-5e6a705bd318,2012-02-19,2012-02-19,,Central Time (US & Canada),14327,2014-10-16 15:25:30 UTC,2022-02-01 13:28:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1021444,https://inaturalist-open-data.s3.amazonaws.com/photos/1280199/medium.jpg,"",Location approximate. AOR,4,0,false,,"Victoria County, US-TX, US",29.01368,-97.034297,232,,,,232,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1027418,af7905fa-eeed-4e35-8a37-f2417281fe7d,2014-10-19,2014-10-19,,Central Time (US & Canada),1639,2014-10-20 15:52:12 UTC,2020-08-20 00:47:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1027418,https://static.inaturalist.org/photos/1288263/medium.JPG,Cache River,"",2,0,false,,"Big Cpress Access, Cache River State Natural Area, Pulaski county, Illinois, U.S.A.",37.313076,-88.983829,105,,,,105,,,false,,,smallmouth salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1201469,99273d29-255c-4401-8aa1-4104e1da5934,Thu Jan 29 2015 20:08:18 GMT-0600 (CST),2015-01-29,2015-01-30 02:08:18 UTC,Central Time (US & Canada),10766,2015-01-30 02:12:38 UTC,2016-12-09 04:03:12 UTC,research,,http://www.inaturalist.org/observations/1201469,https://static.inaturalist.org/photos/1517874/medium.jpg,"",,3,0,false,3,"Texas, US",30.6839342304,-96.1826407827,44,,,,29330,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1290992,260ed02e-6191-44fe-9337-9fc57c28fc7f,2015-03-13,2015-03-13,,Hawaii,74252,2015-03-14 00:27:35 UTC,2017-09-25 23:42:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1290992,https://inaturalist-open-data.s3.amazonaws.com/photos/1619456/medium.JPG,"","",2,0,false,,Lick Creek Park,30.560584,-96.206481,51,,,,51,,,false,,,small-mouthed salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1292159,e2921985-d7b2-4c0e-9c9d-21415c204456,2015-03-14 12:24:19,2015-03-14,2015-03-14 17:24:19 UTC,Central Time (US & Canada),206,2015-03-14 19:22:33 UTC,2015-05-13 02:19:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1292159,https://inaturalist-open-data.s3.amazonaws.com/photos/1620914/medium.jpg,,under rock in broad drainage,1,0,false,,"Boone, Missouri, United States",38.97312119,-92.35516963,50,,,,50,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
1299381,7092abdc-70ac-45eb-9c46-0431a001d14b,Mon Mar 16 2015 17:05:44 GMT-0500 (CDT),2015-03-16,2015-03-16 22:05:44 UTC,Central Time (US & Canada),18946,2015-03-17 19:27:38 UTC,2017-09-25 23:46:40 UTC,research,,http://www.inaturalist.org/observations/1299381,https://static.inaturalist.org/photos/1630862/medium.jpg,,,2,0,false,3,"1911 NW Green Oaks Blvd, Arlington, TX, US",32.7789466667,-97.1383445,,,,,,,,false,,,Ambystoma texanum,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
